,time,x,y,z,rx,ry,rz,maze_type,condition,collision_status,Participant,Distance,Total Distance
430033,1692173110346,-3.268823,0.219,0.3947085,0,0,0,Maze3,all,0,FAS28,0.008325000000000027,59.567648193852335
430670,1692173126280,0.5220233,0.219,0.7827854,0,0,0,Maze1,contra_audio,0,FAS28,0.0024980000000000002,59.61285516090457
433842,1692173192147,0.7523426,0.2189999,-2.98677,0,0,0,Maze2,invisible,0,FAS28,0.008338999999999874,135.34069566324126
435782,1692173234596,0.5177678,0.2189987,0.8510872,0,0,0,Maze1,contra_visual,0,FAS28,0.007925300000000024,100.2576139278587
436563,1692173251862,-3.363604,0.219,-2.791909,0,0,0,Maze4,all,0,FAS28,0.006256000000000039,60.434934849839685
442594,1692173374778,-1.277037,0.2197249,0.3550662,0,0,0,Maze1,audio_only,0,FAS28,0.008333800000000002,92.29411048962795
443556,1692173398578,-3.469168,0.219,-2.846755,0,0,0,Maze4,contra_visual,0,FAS28,0.008750446445753514,63.77916859395388
444931,1692173430028,0.5544799,0.219,0.9576578,0,0,0,Maze1,invisible,0,FAS28,0.016681000000000057,85.96880740018469
447046,1692173475446,-3.47769,0.2181105,0.4692683,0,0,0,Maze3,audio_only,0,FAS28,0.015433454028181701,88.63625426198341
448896,1692173516195,0.605046,0.219,-2.793081,0,0,0,Maze2,contra_visual,0,FAS28,0.01664999999999983,135.68607798028603
450557,1692173551511,-3.545334,0.219,-2.94317,0,0,0,Maze4,audio_only,0,FAS28,0.008359999999999701,97.10970808367833
452143,1689779492052,-3.291718,0.2189995,0.3926979,0,0,0,Maze3,contra_visual,0,FBS10,0.008339099999999988,91.36065922741709
453033,1689779520150,0.5292059,0.219,0.8298257,0,0,0,Maze1,all,0,FBS10,0.008332099999999953,78.08584790691395
454629,1689779552933,-3.25925,0.219,0.3915564,0,0,0,Maze3,contra_audio,0,FBS10,0.00832320000000003,73.69217564415572
456191,1689779587234,0.6316233,0.219,0.6544731,0,0,0,Maze1,invisible,0,FBS10,0.016693999999999987,96.2379057161646
457101,1689779608284,0.5406522,0.219,-2.778888,0,0,0,Maze2,const_contra_audio2,0,FBS10,0.016658999999999757,77.53431510591858
462575,1689779718317,-3.45129,0.219,0.4426154,0,0,0,Maze3,invisible,0,FBS10,0.008323199999999975,125.51065908809889
464324,1689779754716,0.4902682,0.2185349,-2.780427,0,0,0,Maze2,contra_visual,0,FBS10,0.008322999999999858,151.1888618093661
465020,1689779791500,-3.234734,0.219,0.3963318,0,0,0,Maze3,visual_only,0,FBS10,0.00832320000000003,85.86035236576583
465802,1689779808617,0.5444896,0.219,-2.784878,0,0,0,Maze2,all,0,FBS10,0.008322999999999858,75.84619062028614
467182,1689779837567,-3.175752,0.2189998,-2.832729,0,0,0,Maze4,contra_visual,0,FBS10,0.008359000000000005,78.86565860536916
467795,1689779851035,0.5231861,0.219,0.8043346,0,0,0,Maze1,visual_only,0,FBS10,0.008333799999999947,68.74905701364685
469044,1689779877884,-3.344462,0.219,-2.790942,0,0,0,Maze4,invisible,0,FBS10,0.008322999999999858,90.95015637659192
469773,1689779893516,0.561762,0.219,0.7158856,0,0,0,Maze1,const_contra_audio2,0,FBS10,0.008323300000000033,71.26688725991761
475496,1689780009100,0.7523423,0.2188152,-2.987855,0,0,0,Maze2,const_contra_visual,0,FBS10,0.01664600000000016,179.0589859509172
481502,1689780131748,-2.254103,0.2186887,1.041678,0,0,0,Maze1,contra_visual,0,FBS10,0.005884999999999696,135.04025892691644
482189,1689780148901,-3.291338,0.219,0.3837378,0,0,0,Maze3,const_contra_audio2,0,FBS10,0.00832320000000003,70.07700999693398
485669,1689780218950,-3.291713,0.219,-2.793534,0,0,0,Maze4,audio_only,0,FBS10,0.008349000000000384,112.17292295330577
486451,1689780236502,-3.238944,0.219,0.3985872,0,0,0,Maze3,all,0,FBS10,0.016646499999999953,71.62178130941705
487098,1689780249816,-3.288388,0.2189997,-2.793337,0,0,0,Maze4,visual_only,0,FBS10,0.00835100000000022,64.89819345518254
489921,1689780307500,0.6241745,0.2173801,0.6522669,0,0,0,Maze1,audio_only,0,FBS10,0.003757200000000016,106.28034354883684
491065,1689780336883,-3.244958,0.219,-2.800405,0,0,0,Maze4,const_contra_visual,0,FBS10,0.008322999999999858,93.28502788694358
491817,1689780353400,0.4912851,0.2189999,-2.790185,0,0,0,Maze2,visual_only,0,FBS10,0.008323000000000302,79.83715067716399
492460,1689780366666,-3.316101,0.219,-2.79064,0,0,0,Maze4,all,0,FBS10,0.00833399999999962,70.18354177662803
493195,1689780381650,0.5307096,0.219,0.7878052,0,0,0,Maze1,contra_audio,0,FBS10,0.008323199999999975,69.52266218212473
497373,1689780467601,-3.166574,0.219,0.4345033,0,0,0,Maze3,const_contra_visual,0,FBS10,0.008323199999999975,131.87119520053946
503392,1689780590215,0.3191177,0.2189997,-3.077382,0,0,0,Maze2,audio_only,0,FBS10,0.004580425601404131,154.22296065928603
506932,1689780667067,0.5657789,0.2194322,0.710976,0,0,0,Maze1,const_contra_visual,0,FBS10,0.008389499999999939,124.72882585127743
510143,1689780732616,0.5679439,0.219,-2.77457,0,0,0,Maze2,invisible,0,FBS10,0.00835700000000017,147.96988819116194
510747,1689780746283,-3.354349,0.219,-2.803938,0,0,0,Maze4,const_contra_audio2,0,FBS10,0.008322999999999858,70.59118495915243
511481,1689780762534,0.5180033,0.2189999,-2.786331,0,0,0,Maze2,contra_audio,0,FBS10,0.016679000000000332,83.35558276221357
512612,1689780786650,-3.124135,0.219,0.4836547,0,0,0,Maze3,audio_only,0,FBS10,0.008323199999999975,99.28358555748804
513447,1689780808983,-3.375462,0.219,-2.808823,0,0,0,Maze4,contra_audio,0,FBS10,0.008322999999999858,66.2063117502493
514406,1689844737943,0.5339632,0.219,0.8145014,0,0,0,Maze1,const_contra_audio2,0,FDS13,0.008345999999999965,81.20258298862814
515413,1689844762642,0.4857649,0.219,-2.7777,0,0,0,Maze2,all,0,FDS13,0.00834099999999971,82.87678026797015
516390,1689844785458,-3.215715,0.219,0.4114056,0,0,0,Maze3,visual_only,0,FDS13,0.01664650000000001,97.12758134526041
522406,1689844908473,-1.476843,0.2190779,-0.3721186,0,0,0,Maze2,audio_only,0,FDS13,0.0,177.79326241276806
523299,1689844931042,-3.313045,0.219,0.3791955,0,0,0,Maze3,all,0,FDS13,0.008356599999999992,81.49298251622928
524112,1689844949459,0.5359331,0.219,0.7624757,0,0,0,Maze1,visual_only,0,FDS13,0.008353100000000002,78.44996397913924
525012,1689844970109,-3.204634,0.219,0.4088358,0,0,0,Maze3,contra_audio,0,FDS13,0.008323300000000033,80.99823105950966
525829,1689844989093,0.5245523,0.219,-2.770517,0,0,0,Maze2,visual_only,0,FDS13,0.008323999999999998,90.789471462772
528008,1689845034793,0.5378176,0.219,0.9358732,0,0,0,Maze1,contra_visual,0,FDS13,0.008323300000000033,149.81342247052274
529740,1689845073975,-3.22774,0.2190001,-2.81442,0,0,0,Maze4,invisible,0,FDS13,0.016675000000000217,99.0239473903212
530555,1689845094576,0.4013588,0.219,-2.831641,0,0,0,Maze2,const_contra_audio2,0,FDS13,0.016667999999999683,90.00234257418062
531286,1689845112293,-3.283272,0.219,-2.794123,0,0,0,Maze4,all,0,FDS13,0.008322999999999858,80.3138594644319
535173,1689845192925,0.7090296,0.219,0.6202702,0,0,0,Maze1,audio_only,0,FDS13,0.008335399999999993,119.70283475868848
535906,1689845211643,-3.302651,0.219,-2.795596,0,0,0,Maze4,visual_only,0,FDS13,0.008323000000000302,72.5358047560764
537263,1689845241842,0.5320835,0.219,0.9098137,0,0,0,Maze1,const_contra_visual,0,FDS13,0.008368700000000007,137.13300769762878
538426,1689845267928,-3.371114,0.219,0.4005561,0,0,0,Maze3,invisible,0,FDS13,0.00832320000000003,133.66902852956636
539675,1689845295343,-3.180881,0.219,-2.836575,0,0,0,Maze4,contra_visual,0,FDS13,0.01667099999999966,88.41930289817138
545713,1689845418173,-0.3644895,0.2190006,0.5935235,0,0,0,Maze2,const_contra_visual,0,FDS13,0.007489600000000041,205.733161390795
549850,1689845502825,-3.225419,0.219,-2.813908,0,0,0,Maze4,audio_only,0,FDS13,0.01668700000000012,125.16469013748463
551546,1689845541876,0.5499504,0.219,0.9699181,0,0,0,Maze1,invisible,0,FDS13,0.008323299999999922,109.94925960434576
552280,1689845559943,-3.313367,0.219,-2.801329,0,0,0,Maze4,contra_audio,0,FDS13,0.01669199999999993,73.7115763747064
553686,1689845590342,0.4710295,0.219,-3.162145,0,0,0,Maze2,contra_visual,0,FDS13,0.007907500000000012,166.16525694607827
555699,1689845632375,-3.127581,0.219,0.4831611,0,0,0,Maze3,const_contra_visual,0,FDS13,0.008333800000000002,146.9122633611804
556479,1689845650025,-3.253511,0.219,-2.798814,0,0,0,Maze4,const_contra_audio2,0,FDS13,0.008323000000000302,79.58815332526561
557235,1689845667392,0.6091259,0.219,0.672846,0,0,0,Maze1,contra_audio,0,FDS13,0.01664639999999995,79.18650974920358
558120,1689845686491,-3.239922,0.219,0.4005003,0,0,0,Maze3,const_contra_audio2,0,FDS13,0.016646499999999953,77.5829360675244
559086,1689845709025,-3.13997,0.219,-2.86744,0,0,0,Maze4,const_contra_visual,0,FDS13,0.008323999999999998,103.03524714104744
565093,1689845831724,-3.084036,0.2185627,0.5224211,0,0,0,Maze3,audio_only,0,FDS13,0.008354699999999937,123.01197195307864
565881,1689845853142,0.5300599,0.219,0.8649124,0,0,0,Maze1,all,0,FDS13,0.008341200000000049,88.00374413628471
566771,1689845873526,0.479884,0.219,-2.793325,0,0,0,Maze2,contra_audio,0,FDS13,0.008322999999999858,90.64920797908816
568489,1689845910176,-3.274499,0.219,0.3886933,0,0,0,Maze3,contra_visual,0,FDS13,0.008342300000000025,104.55384780972737
570311,1689845948825,0.7250853,0.219,-2.885365,0,0,0,Maze2,invisible,0,FDS13,0.008334000000600016,161.6957957406749
571617,1689684824340,0.5508394,0.219,0.7403278,0,0,0,Maze1,const_contra_audio2,0,FSS08,0.008339600000000003,88.09237952900821
572882,1689684859590,0.3619998,0.219,-3.038924,0,0,0,Maze2,all,0,FSS08,0.008339263831418222,90.12216115795601
573944,1689684886089,-3.178364,0.219,0.436614,0,0,0,Maze3,visual_only,0,FSS08,0.0083395,108.28011018479643
579985,1689685010420,-1.185094,0.2189996,-1.40793,0,0,0,Maze2,audio_only,0,FSS08,0.003746000000000027,199.56717357497106
581264,1689685040373,-3.185943,0.219,0.4221025,0,0,0,Maze3,all,0,FSS08,0.008339600000000003,91.52371290309189
582146,1689685061073,0.5623733,0.219,0.7181991,0,0,0,Maze1,visual_only,0,FSS08,0.008323199999999975,87.81566239040632
583269,1689685090306,-3.123002,0.219,0.6729094,0,0,0,Maze3,contra_audio,0,FSS08,0.0033440000000002357,88.57242175426859
584475,1689685119822,0.3504674,0.219,-2.998413,0,0,0,Maze2,visual_only,0,FSS08,0.0058263000000000065,101.41952240628828
587804,1689685192239,0.5459925,0.219,0.7617085,0,0,0,Maze1,contra_visual,0,FSS08,0.008333599999999941,167.23177904683078
593821,1689685317320,-0.3586751,0.2189943,0.2370646,0,0,0,Maze4,invisible,0,FSS08,0.0,118.50218700539851
595027,1689685349572,0.3451366,0.219,-3.007514,0,0,0,Maze2,const_contra_audio2,0,FSS08,0.0033309679509116535,98.05039712887744
595971,1689685372206,-3.32401,0.219,-2.78443,0,0,0,Maze4,all,0,FSS08,0.008336081873398196,90.53413597215103
601207,1689685480873,0.7523432,0.2190001,0.620285,0,0,0,Maze1,audio_only,0,FSS08,0.004144700004825441,135.55710614355831
602227,1689685507423,-3.467253,0.219,-2.838706,0,0,0,Maze4,visual_only,0,FSS08,0.00836400000000026,80.2815812158483
607529,1689685619073,0.6125701,0.219,1.039335,0,0,0,Maze1,const_contra_visual,0,FSS08,0.008323199999999975,165.59149278304577
610055,1689685676175,-3.25708,0.2189994,0.3773978,0,0,0,Maze3,invisible,0,FSS08,0.0008341000000000043,144.99519040394736
614953,1689685777705,-3.427063,0.219,-2.822751,0,0,0,Maze4,contra_visual,0,FSS08,0.015405028334929868,110.75442066024256
620975,1689685902887,-2.230074,0.2189197,-0.9512339,0,0,0,Maze2,const_contra_visual,0,FSS08,0.0016650000000000276,231.89694169372947
627013,1689686027953,-0.5712835,0.219,-1.426435,0,0,0,Maze4,audio_only,0,FSS08,0.0,141.5372187792707
629234,1689686076656,0.6177642,0.219,1.039334,0,0,0,Maze1,invisible,0,FSS08,0.008346399999999976,121.53859055861462
630307,1689686102488,-3.357928,0.219,-2.787076,0,0,0,Maze4,contra_audio,0,FSS08,0.006241999999999859,81.20293900403519
633032,1689686162756,0.5083696,0.218904,-2.777266,0,0,0,Maze2,contra_visual,0,FSS08,0.005825999999999887,183.958880220353
639037,1689686288003,-0.5505332,0.219,0.6527832,0,0,0,Maze3,const_contra_visual,0,FSS08,0.0,173.2219475193968
639869,1689686307589,-3.323934,0.219,-2.79645,0,0,0,Maze4,const_contra_audio2,0,FSS08,0.008323000000000302,86.12664431373122
641004,1689686332823,0.5627829,0.219,0.7323633,0,0,0,Maze1,contra_audio,0,FSS08,0.008323100000000028,91.43543103631706
642059,1689686357022,-3.226003,0.219,0.4080169,0,0,0,Maze3,const_contra_audio2,0,FSS08,0.00832320000000003,85.07000287583111
644085,1689686403472,-3.161417,0.219,-2.834843,0,0,0,Maze4,const_contra_visual,0,FSS08,0.008359999999999701,111.72055539283791
649520,1689686519106,-3.265336,0.219495,0.3863927,0,0,0,Maze3,audio_only,0,FSS08,0.008334899999999978,148.22085403743566
650268,1689686537771,0.534001,0.219,0.7851318,0,0,0,Maze1,all,0,FSS08,0.013754216843572016,97.59638840236919
652223,1689686583339,0.5283419,0.219,-2.777109,0,0,0,Maze2,contra_audio,0,FSS08,0.012078939458412527,100.64524438417878
654524,1689686633538,-3.357316,0.219,0.3881675,0,0,0,Maze3,contra_visual,0,FSS08,0.008323199999999975,118.48896670813754
664005,1691161247430,0.5033822,0.2189999,-2.775637,0,0,0,Maze2,contra_visual,0,HIS16,0.008332999999999924,212.5925214323025
670034,1691161373277,-3.342025,0.2189029,-2.714208,0,0,0,Maze4,const_contra_visual,0,HIS16,0.016674000000000078,140.74238709349
673240,1691161444080,0.6248319,0.219,1.041674,0,0,0,Maze1,invisible,0,HIS16,0.008323199999999975,145.0149119548311
673924,1691161467080,-3.402258,0.219,-2.810559,0,0,0,Maze4,contra_audio,0,HIS16,0.016656000000000226,88.58834373299025
674660,1691161484147,-3.281773,0.219,0.3828546,0,0,0,Maze3,visual_only,0,HIS16,0.008337499999999998,120.68028194562022
675510,1691161502830,-3.331928,0.2189993,-2.788827,0,0,0,Maze4,all,0,HIS16,0.008322999999999858,100.51737511819901
676425,1691161522798,0.4626319,0.2189999,-2.794053,0,0,0,Maze2,visual_only,0,HIS16,0.008323707482245993,115.56741909793821
677282,1691161543046,-3.270827,0.219,-2.796335,0,0,0,Maze4,contra_visual,0,HIS16,0.00835000000000008,120.89250879081699
678393,1691161567431,0.5699436,0.2189999,-2.776544,0,0,0,Maze2,contra_audio,0,HIS16,0.008323999999999998,115.15551910661438
682659,1691161654114,0.5471081,0.219,0.939209,0,0,0,Maze1,audio_only,0,HIS16,0.016684299999999985,144.40179218896924
688678,1691161781478,0.3216862,0.2178724,0.9462467,0,0,0,Maze3,const_contra_visual,0,HIS16,0.004161999999999999,200.4664476759243
689485,1691161801747,0.4803647,0.219,-2.783281,0,0,0,Maze2,const_contra_audio2,0,HIS16,0.00835600000000003,105.87802918745167
691126,1691161837831,-3.524911,0.219,-2.909971,0,0,0,Maze4,audio_only,0,HIS16,0.008338000000000179,152.08020672715674
692005,1691161858731,0.5745671,0.219,-2.772117,0,0,0,Maze2,all,0,HIS16,0.008323999999999998,104.0620079638359
692722,1691161876483,0.5248714,0.219,0.8631931,0,0,0,Maze1,contra_audio,0,HIS16,0.008323199999999975,99.8186114860436
693474,1691161894881,-3.272801,0.219,0.3954987,0,0,0,Maze3,all,0,HIS16,0.016663399999999995,98.8313406536927
694225,1691161911981,-3.37452,0.219,-2.799192,0,0,0,Maze4,visual_only,0,HIS16,0.008340000000000014,90.09795773166805
694875,1691161926533,0.5294902,0.219,0.8800953,0,0,0,Maze1,all,0,HIS16,0.008334300000000017,108.12844808832142
698385,1691162011132,-3.380482,0.219,-2.806354,0,0,0,Maze4,invisible,0,HIS16,0.008336999999999595,139.23696570237615
699182,1691162032281,-3.305982,0.219,0.3783253,0,0,0,Maze3,contra_audio,0,HIS16,0.008323199999999975,101.49975902539417
704171,1691162134181,0.5213331,0.2194061,0.8059744,0,0,0,Maze1,contra_visual,0,HIS16,0.008354399999999984,206.9045840573117
704899,1691162150914,-3.317606,0.219,0.3939849,0,0,0,Maze3,const_contra_audio2,0,HIS16,0.016678000000000026,92.10360066326756
705715,1691162168582,0.5285962,0.219,0.8223506,0,0,0,Maze1,visual_only,0,HIS16,0.008323199999999975,99.857097362626
707129,1691162198181,-3.31339,0.219,0.3927614,0,0,0,Maze3,audio_only,0,HIS16,0.01667160000000001,156.31739846039642
713177,1691162323911,-1.686926,0.2187424,0.5797084,0,0,0,Maze2,const_contra_visual,0,HIS16,0.006659390245360329,260.74066353413366
714489,1691162353832,-3.347321,0.2189997,0.3957864,0,0,0,Maze3,contra_visual,0,HIS16,0.01664650000000001,131.49128174010016
720528,1691162475896,-1.097094,0.2194937,-1.33846,0,0,0,Maze1,const_contra_visual,0,HIS16,0.008332999999999924,214.73118362797024
726562,1691162598812,-2.09781,0.2228608,1.001052,0,0,0,Maze2,invisible,0,HIS16,0.0,209.27423192510932
727302,1691162617615,0.5247303,0.219,0.8313001,0,0,0,Maze1,const_contra_audio2,0,HIS16,0.008323199999999975,98.39359833566284
733313,1691162740196,0.7511548,0.2160808,0.5935234,0,0,0,Maze2,audio_only,0,HIS16,0.0,223.58747495493745
738775,1691162852267,-3.494022,0.219042,0.5035788,0,0,0,Maze3,invisible,0,HIS16,0.008323199999999975,165.0689015123626
739534,1691162870117,-3.333771,0.219,-2.796796,0,0,0,Maze4,const_contra_audio2,0,HIS16,0.01664600000000016,96.20950610420213
745575,1692009135698,-0.4937028,0.219,0.75097,0,0,0,Maze1,contra_visual,0,HSS21,0.008325000000000027,226.71922655934586
746818,1692009167781,-3.284848,0.219,-2.789412,0,0,0,Maze4,all,0,HSS21,0.00541299999999989,106.95807310503936
752830,1692009293097,0.2846285,0.219,0.7086481,0,0,0,Maze3,const_contra_visual,0,HSS21,0.0,217.397575493202
756819,1692009379663,0.7499999,0.2193284,0.6189061,0,0,0,Maze1,invisible,0,HSS21,0.002083799999999969,156.53598896518432
758253,1692009411713,-3.364036,0.219,-2.795122,0,0,0,Maze4,contra_audio,0,HSS21,0.008335000000000203,96.32330285989035
759252,1692009435764,0.5350611,0.219,0.8104643,0,0,0,Maze1,const_contra_audio2,0,HSS21,0.008334100000000011,108.1874998139967
760581,1692009466213,-3.248086,0.219,0.4007868,0,0,0,Maze3,contra_visual,0,HSS21,0.01666240000000002,139.03405276783832
761800,1692009493730,0.5134191,0.219,-2.779271,0,0,0,Maze2,contra_audio,0,HSS21,0.008335000000000203,125.99320551671227
763141,1692009523996,-3.334336,0.219,-2.796036,0,0,0,Maze4,contra_visual,0,HSS21,0.014599000000000029,131.08690888930155
764213,1692009547597,-3.251305,0.219,0.3891335,0,0,0,Maze3,contra_audio,0,HSS21,0.008325000000000027,114.15812205930352
770245,1692009670629,-2.027091,0.219,-1.277552,0,0,0,Maze4,const_contra_visual,0,HSS21,0.0,158.26400462333578
775970,1692009788996,0.5949128,0.219,-2.770084,0,0,0,Maze2,invisible,0,HSS21,0.0016660000000001673,231.15462483466405
777134,1692009815629,-3.279479,0.219,0.3849071,0,0,0,Maze3,const_contra_audio2,0,HSS21,0.008334700000000028,103.08371940037779
778002,1692009836878,0.5303507,0.219,0.8119015,0,0,0,Maze1,visual_only,0,HSS21,0.007087999999999983,109.55314347547892
779949,1692009878879,-3.074324,0.2189999,-2.946711,0,0,0,Maze4,invisible,0,HSS21,0.004169000000000089,148.47714158591955
781092,1692009905878,0.4823807,0.219,-2.783882,0,0,0,Maze2,all,0,HSS21,0.008325000000000138,116.36963966296405
787106,1692010029094,-2.207597,0.219,0.6397351,0,0,0,Maze1,audio_only,0,HSS21,0.0,160.35822044148992
788125,1692010052178,-3.343639,0.219,-2.80129,0,0,0,Maze4,visual_only,0,HSS21,0.016666999999999987,98.12501598498797
789088,1692010073428,0.5212467,0.219,0.8328974,0,0,0,Maze1,all,0,HSS21,0.008325099999999974,118.12878555261308
790243,1692010098294,0.5145355,0.219,-2.774709,0,0,0,Maze2,visual_only,0,HSS21,0.008348000000000244,122.6607909355468
792011,1692010135044,-3.293835,0.219,-2.783325,0,0,0,Maze4,audio_only,0,HSS21,0.003330000000000055,162.2261963713914
798024,1692010258960,-1.428711,0.219,1.595625,0,0,0,Maze2,const_contra_visual,0,HSS21,0.0,283.0419404312452
799048,1692010282110,-3.311869,0.219,-2.791456,0,0,0,Maze4,const_contra_audio2,0,HSS21,0.008338000000000179,103.65633052471716
805088,1692010404742,-1.243652,0.219,1.908463,0,0,0,Maze2,audio_only,0,HSS21,0.0,248.5949570361049
808036,1692010468176,-3.279907,0.219,0.3788593,0,0,0,Maze3,invisible,0,HSS21,0.007109000000000032,181.33168812469967
810059,1692010512775,0.5469845,0.219,-2.775212,0,0,0,Maze2,contra_visual,0,HSS21,0.00833399999999962,225.77294195992695
810857,1692010530743,0.5201259,0.219,0.8163684,0,0,0,Maze1,contra_audio,0,HSS21,0.008339800000000008,106.92892669570467
811941,1692010554642,-3.284094,0.219,0.3807541,0,0,0,Maze3,all,0,HSS21,0.008324999999999971,106.34587735058017
812923,1692010575926,0.4297549,0.219,-2.807452,0,0,0,Maze2,const_contra_audio2,0,HSS21,0.008323999999999998,116.93284038062102
817035,1692010660175,-3.39579,0.219,0.4137826,0,0,0,Maze3,audio_only,0,HSS21,0.008324900000000024,169.38018139473976
823068,1692010784608,-0.004960866,0.219,-1.215747,0,0,0,Maze1,const_contra_visual,0,HSS21,0.0,236.519466035681
824087,1692010807558,-3.336121,0.219,0.3832318,0,0,0,Maze3,visual_only,0,HSS21,0.008333800000000002,130.25801533086758
826368,1689680620153,0.5624244,0.219,-2.773481,0,0,0,Maze2,visual_only,0,IDS04,0.008322999999999858,141.72944813603917
827121,1689680647186,0.5274193,0.219,0.8318827,0,0,0,Maze1,const_contra_audio2,0,IDS04,0.008323200000000086,115.0656828314966
827896,1689680665603,-3.297217,0.219,0.3784432,0,0,0,Maze3,all,0,IDS04,0.008339700000000005,113.14556471475724
829709,1689680705736,-3.293375,0.2189999,-2.785718,0,0,0,Maze4,const_contra_visual,0,IDS04,0.008323000000000302,170.86032714734375
832089,1689680757203,0.532663,0.2189994,0.8607821,0,0,0,Maze1,contra_visual,0,IDS04,0.01668230000000004,247.83879902306685
832863,1689680775487,-3.278856,0.219,0.3801568,0,0,0,Maze3,contra_audio,0,IDS04,0.008323300000000033,121.31482042641413
833508,1689680791070,0.5284964,0.219,0.793487,0,0,0,Maze1,visual_only,0,IDS04,0.008323199999999975,119.00813886769453
834591,1689680814604,-3.310426,0.219,0.3922123,0,0,0,Maze3,contra_visual,0,IDS04,0.008341199999999993,147.0992218751497
836063,1689680845853,0.5250408,0.219,-2.777132,0,0,0,Maze2,const_contra_visual,0,IDS04,0.008322999999999858,296.3620968327336
837729,1689680880969,-3.312797,0.2190004,0.7663621,0,0,0,Maze3,invisible,0,IDS04,0.016662899999999925,196.89374306798845
838554,1689680899470,0.4553393,0.219,-2.809025,0,0,0,Maze2,contra_audio,0,IDS04,0.016678000000000193,136.69613677330673
840097,1689680932354,0.5245085,0.219,0.8451918,0,0,0,Maze1,const_contra_visual,0,IDS04,0.008323200000000086,245.9437565856421
846118,1689681057218,0.2938339,0.2189994,-1.545177,0,0,0,Maze2,audio_only,0,IDS04,0.00832300000000008,270.7495021483551
850452,1689681152770,0.5497891,0.2189999,0.957217,0,0,0,Maze1,invisible,0,IDS04,0.008344699999999983,178.1900981554065
851775,1689681184320,-3.409589,0.219,0.4091513,0,0,0,Maze3,audio_only,0,IDS04,0.008323199999999975,177.28426305728627
852406,1689681200303,-3.296978,0.219,-2.788517,0,0,0,Maze4,const_contra_audio2,0,IDS04,0.008323000000000302,112.51173454239853
853746,1689681229369,-3.319537,0.219,0.7770774,0,0,0,Maze3,const_contra_visual,0,IDS04,0.00832363677487174,231.71877330092195
854901,1689681254137,-3.293854,0.2189999,-2.791501,0,0,0,Maze4,contra_visual,0,IDS04,0.008349999999999635,142.58006778857427
855586,1689681269836,-3.278751,0.219,0.381064,0,0,0,Maze3,visual_only,0,IDS04,0.0083376,142.2236269882488
857013,1689681301336,0.5199679,0.219,0.8183404,0,0,0,Maze1,audio_only,0,IDS04,0.008340000000000014,172.56995729479124
857630,1689681316470,-3.316788,0.219,-2.800157,0,0,0,Maze4,visual_only,0,IDS04,0.008322999999999858,105.16798487609334
858310,1689681331436,0.5462874,0.219,-2.776604,0,0,0,Maze2,const_contra_audio2,0,IDS04,0.00834099999999971,128.87120161082828
858850,1689681344472,0.5610805,0.219,0.7373625,0,0,0,Maze1,all,0,IDS04,0.008371099999999965,124.81047306320637
859470,1689681364103,-3.285319,0.219,-2.801985,0,0,0,Maze4,contra_audio,0,IDS04,0.008336000000000343,103.43090568223123
860151,1689681378887,0.4588972,0.219,-2.799829,0,0,0,Maze2,all,0,IDS04,0.008331999999999784,128.2861516385819
860685,1689681390952,0.532265,0.219,0.7841048,0,0,0,Maze1,contra_audio,0,IDS04,0.008336699999999975,113.63037889212505
861297,1689681405286,-3.338768,0.219,-2.79338,0,0,0,Maze4,all,0,IDS04,0.00835700000000017,114.06702145947636
861989,1689681420869,-3.23875,0.219,0.404491,0,0,0,Maze3,const_contra_audio2,0,IDS04,0.016683699999999968,115.17279779945666
863888,1689681460769,0.6460025,0.2189982,-3.144878,0,0,0,Maze2,invisible,0,IDS04,0.006242055828010623,247.98314654666328
865160,1689681489219,-3.323349,0.219,-2.785837,0,0,0,Maze4,audio_only,0,IDS04,0.008322999999999858,173.20107709805916
866888,1689681525653,0.4700752,0.2189946,-2.793018,0,0,0,Maze2,contra_visual,0,IDS04,0.008323999999999998,243.46279826114525
868550,1689681561602,-3.545333,0.218998,-2.950079,0,0,0,Maze4,invisible,0,IDS04,0.008353000000000055,163.26384151923702
870289,1689688863071,0.5739107,0.219,0.6900389,0,0,0,Maze1,const_contra_audio2,0,IDS05,0.001250199999999979,124.90383580618081
872143,1689688908205,0.3469908,0.219,-2.923442,0,0,0,Maze2,all,0,IDS05,0.008338000000000179,135.35339641136062
873362,1689688937004,-3.156243,0.219,0.4516931,0,0,0,Maze3,visual_only,0,IDS05,0.00836760000000003,153.06487941314865
879390,1689689060986,-0.101737,0.219,1.081336,0,0,0,Maze2,audio_only,0,IDS05,0.0,290.7154088738328
880758,1689689094421,-3.141708,0.219,0.4636895,0,0,0,Maze3,all,0,IDS05,0.008323199999999975,120.86934532553873
881808,1689689119054,0.5952737,0.219,0.6718386,0,0,0,Maze1,visual_only,0,IDS05,0.004170100000000065,128.3599113886881
883258,1689689156155,-3.114941,0.219,0.5032904,0,0,0,Maze3,contra_audio,0,IDS05,0.0083337,128.52703314186124
884449,1689689183555,0.3622094,0.219,-2.889283,0,0,0,Maze2,visual_only,0,IDS05,0.008322999999999858,152.27133814173752
889447,1689689287254,0.6555288,0.2192926,0.6391317,0,0,0,Maze1,contra_visual,0,IDS05,0.008332100000000064,269.25901781002506
893625,1689689376554,-3.520464,0.218625,-2.899978,0,0,0,Maze4,invisible,0,IDS05,0.008322999999999858,184.11750097649227
