maze_type,condition,collision_number,success_maze,completion_time
Maze1,const_contra_audio2,0,1,34.43671
Maze2,all,0,1,36.19998
Maze3,visual_only,0,1,23.41675
Maze2,audio_only,8,0,120.5667
Maze3,all,0,1,26.39996
Maze1,visual_only,0,1,20.33331
Maze3,contra_audio,0,1,28.70001
Maze2,visual_only,0,1,23.01666
Maze1,contra_visual,11,1,99.58331
Maze4,invisible,22,1,82.78333
Maze2,const_contra_audio2,0,1,21.48328
Maze4,all,0,1,16.96667
Maze1,audio_only,8,0,120.0667
Maze4,visual_only,0,1,18.26672
Maze1,const_contra_visual,2,1,62.90002
Maze3,invisible,20,1,111.9166
Maze4,contra_visual,12,0,121.0166
Maze2,const_contra_visual,20,0,120.8833
Maze4,audio_only,9,0,120.7833
Maze1,invisible,16,0,120.7832
Maze4,contra_audio,0,1,20.30005
Maze2,contra_visual,14,0,120.6832
Maze3,const_contra_visual,14,1,102.5
Maze4,const_contra_audio2,0,1,20.43347
Maze1,contra_audio,0,1,24.1167
Maze3,const_contra_audio2,0,1,19.08325
Maze4,const_contra_visual,6,0,120.6833
Maze3,audio_only,1,0,120.8665
Maze1,all,0,1,25.38354
Maze2,contra_audio,1,1,29.5
Maze3,contra_visual,1,1,61.21655
Maze2,invisible,24,0,120.3667
