maze_type,condition,collision_number,success_maze,completion_time
Maze1,invisible,13,1,67.82004
Maze2,contra_audio,0,1,15.55002
Maze4,audio_only,8,1,64.31662
Maze1,visual_only,0,1,14.68326
Maze4,invisible,4,1,25.8334
Maze2,audio_only,23,0,120.4666
Maze4,visual_only,0,1,16.20001
Maze3,const_contra_visual,39,0,120.1166
Maze4,const_contra_audio2,1,1,18.26666
Maze3,contra_visual,6,1,25.14996
Maze1,all,3,1,17.71674
Maze3,visual_only,2,1,16.41669
Maze4,contra_audio,1,1,18.84998
Maze1,audio_only,3,1,26.41663
Maze2,all,0,1,18.36664
Maze1,const_contra_audio2,0,1,12.18329
Maze2,contra_visual,37,0,120.7333
Maze1,contra_audio,0,1,12.15009
Maze2,invisible,14,1,67.46674
Maze4,const_contra_visual,5,1,36.95007
Maze3,audio_only,12,1,63.8833
Maze4,all,0,1,18.26672
Maze1,const_contra_visual,3,1,22.3335
Maze2,visual_only,0,1,16.53333
Maze3,contra_audio,2,1,16.23328
Maze2,const_contra_visual,10,1,55.75
Maze3,all,0,1,15.58325
Maze2,const_contra_audio2,0,1,16.80005
Maze3,invisible,8,1,44.61682
Maze1,contra_visual,6,1,30.6499
Maze3,const_contra_audio2,1,1,15.4668
Maze4,contra_visual,7,1,32.25
