maze_type,condition,collision_number,success_maze,completion_time
Maze3,const_contra_visual,1,0,120.6027
Maze4,contra_audio,0,1,24.31653
Maze3,contra_visual,0,1,47.14972
Maze2,audio_only,1,0,120.7327
Maze4,all,0,1,22.33319
Maze1,const_contra_visual,2,1,90.64954
Maze2,const_contra_audio2,11,0,120.4161
Maze3,invisible,1,1,94.36621
Maze4,const_contra_audio2,0,1,19.19995
Maze2,contra_audio,0,1,23.49988
Maze1,invisible,0,1,23.11658
Maze3,visual_only,0,1,19.03308
Maze4,audio_only,0,1,28.81641
Maze2,invisible,2,0,120.0327
Maze1,visual_only,0,1,16.24988
Maze4,invisible,0,1,26.09985
Maze3,audio_only,0,1,88.79956
Maze1,contra_audio,0,1,16.56665
Maze2,visual_only,0,1,23.51672
Maze3,all,0,1,19.24988
Maze1,contra_visual,0,1,114.7328
Maze4,const_contra_visual,0,1,23.78308
Maze3,const_contra_audio2,0,1,18.34998
Maze2,contra_visual,0,1,47.31628
Maze1,all,0,1,13.94995
Maze3,contra_audio,0,1,17.61646
Maze1,audio_only,0,1,31.59973
Maze4,contra_visual,0,1,23.23328
Maze1,const_contra_audio2,0,1,13.25
Maze2,all,0,1,19.29993
Maze4,visual_only,0,1,18.43335
Maze2,const_contra_visual,0,1,90.13281
